CONTAMINANT_NAME,CONTAMINANT_CODE,CATEGORY,MCLG,MCL_OR_TT,UNIT,HEALTH_EFFECTS,SOURCES,VULNERABLE_GROUPS
"Cryptosporidium","","Microorganisms","0","TT","n/a","Gastrointestinal illness (such as diarrhea, vomiting, and cramps)","Human and animal fecal waste","Infants, young children, elderly, immunocompromised"
"Giardia lamblia","","Microorganisms","0","TT","n/a","Gastrointestinal illness (such as diarrhea, vomiting, and cramps)","Human and animal fecal waste","Infants, young children, elderly, immunocompromised"
"Heterotrophic plate count (HPC)","","Microorganisms","n/a","TT","n/a","HPC has no health effects; it is an analytic method used to measure the variety of bacteria that are common in water. The lower the concentration of bacteria in drinking water, the better maintained the water system is.","HPC measures a range of bacteria that are naturally present in the environment","None specific"
"Legionella","","Microorganisms","0","TT","n/a","Legionnaire's Disease, a type of pneumonia","Found naturally in water; multiplies in heating systems","Elderly, smokers, people with chronic lung disease"
"Total Coliforms","3100","Microorganisms","0","5.0%","% positive samples","Not a health threat in itself; it is used to indicate whether other potentially harmful bacteria may be present","Coliforms are naturally present in the environment as well as feces; fecal coliforms and E. coli only come from human and animal fecal waste.","None specific"
"Turbidity","","Microorganisms","n/a","TT","NTU","Turbidity is a measure of the cloudiness of water. It is used to indicate water quality and filtration effectiveness (such as whether disease-causing organisms are present). Higher turbidity levels are often associated with higher levels of disease-causing microorganisms such as viruses, parasites and some bacteria. These organisms can cause symptoms such as nausea, cramps, diarrhea, and associated headaches.","Soil runoff","None specific"
"Viruses (enteric)","","Microorganisms","0","TT","n/a","Gastrointestinal illness (such as diarrhea, vomiting, and cramps)","Human and animal fecal waste","Infants, young children, elderly, immunocompromised"
"Bromate","1005","Disinfection Byproducts","0","0.010","mg/L","Increased risk of cancer","Byproduct of drinking water disinfection","None specific"
"Chlorite","1006","Disinfection Byproducts","0.8","1.0","mg/L","Anemia; infants and young children: nervous system effects","Byproduct of drinking water disinfection","Infants, young children"
"Haloacetic acids (HAA5)","2456","Disinfection Byproducts","n/a","0.060","mg/L","Increased risk of cancer","Byproduct of drinking water disinfection","None specific"
"Total Trihalomethanes (TTHMs)","2950","Disinfection Byproducts","n/a","0.080","mg/L","Liver, kidney or central nervous system problems; increased risk of cancer","Byproduct of drinking water disinfection","None specific"
"Chloramines (as Cl2)","1003","Disinfectants","4","4.0","mg/L","Eye/nose irritation; stomach discomfort, anemia","Water additive used to control microbes","None specific"
"Chlorine (as Cl2)","0999","Disinfectants","4","4.0","mg/L","Eye/nose irritation; stomach discomfort","Water additive used to control microbes","None specific"
"Chlorine dioxide (as ClO2)","1007","Disinfectants","0.8","0.8","mg/L","Anemia; infants and young children: nervous system effects","Water additive used to control microbes","Infants, young children"
"Antimony","1074","Inorganic Chemicals","0.006","0.006","mg/L","Increase in blood cholesterol; decrease in blood sugar","Discharge from petroleum refineries; fire retardants; ceramics; electronics; solder","None specific"
"Arsenic","1005","Inorganic Chemicals","0","0.010","mg/L","Skin damage or problems with circulatory systems, and may have increased risk of getting cancer","Erosion of natural deposits; runoff from orchards, runoff from glass and electronics production wastes","None specific"
"Asbestos (fiber >10 micrometers)","1094","Inorganic Chemicals","7 MFL","7 MFL","million fibers/L","Increased risk of developing benign intestinal polyps","Decay of asbestos cement in water mains; erosion of natural deposits","None specific"
"Barium","1010","Inorganic Chemicals","2","2","mg/L","Increase in blood pressure","Discharge of drilling wastes; discharge from metal refineries; erosion of natural deposits","None specific"
"Beryllium","1075","Inorganic Chemicals","0.004","0.004","mg/L","Intestinal lesions","Discharge from metal refineries and coal-burning factories; discharge from electrical, aerospace, and defense industries","None specific"
"Cadmium","1020","Inorganic Chemicals","0.005","0.005","mg/L","Kidney damage","Corrosion of galvanized pipes; erosion of natural deposits; discharge from metal refineries; runoff from waste batteries and paints","None specific"
"Chromium (total)","1024","Inorganic Chemicals","0.1","0.1","mg/L","Allergic dermatitis","Discharge from steel and pulp mills; erosion of natural deposits","None specific"
"Copper","1022","Inorganic Chemicals","1.3","TT; Action Level = 1.3","mg/L","Short term exposure: Gastrointestinal distress; Long term exposure: Liver or kidney damage","Corrosion of household plumbing systems; erosion of natural deposits","People with Wilson's Disease"
"Cyanide (as free cyanide)","1025","Inorganic Chemicals","0.2","0.2","mg/L","Nerve damage or thyroid problems","Discharge from steel/metal factories; discharge from plastic and fertilizer factories","None specific"
"Fluoride","1025","Inorganic Chemicals","4.0","4.0","mg/L","Bone disease (pain and tenderness of the bones); Children may get mottled teeth","Water additive which promotes strong teeth; erosion of natural deposits; discharge from fertilizer and aluminum factories","Children"
"Lead","PB90","Inorganic Chemicals","0","TT; Action Level = 0.015","mg/L","Infants and children: Delays in physical or mental development; children could show slight deficits in attention span and learning abilities; Adults: Kidney problems; high blood pressure","Corrosion of household plumbing systems; erosion of natural deposits","Infants, children, pregnant women"
"Mercury (inorganic)","1035","Inorganic Chemicals","0.002","0.002","mg/L","Kidney damage","Erosion of natural deposits; discharge from refineries and factories; runoff from landfills and croplands","None specific"
"Nitrate (measured as Nitrogen)","1038","Inorganic Chemicals","10","10","mg/L","Infants below the age of six months who drink water containing nitrate in excess of the MCL could become seriously ill and, if untreated, may die. Symptoms include shortness of breath and blue-baby syndrome.","Runoff from fertilizer use; leaking from septic tanks, sewage; erosion of natural deposits","Infants below 6 months"
"Nitrite (measured as Nitrogen)","1039","Inorganic Chemicals","1","1","mg/L","Infants below the age of six months who drink water containing nitrite in excess of the MCL could become seriously ill and, if untreated, may die. Symptoms include shortness of breath and blue-baby syndrome.","Runoff from fertilizer use; leaking from septic tanks, sewage; erosion of natural deposits","Infants below 6 months"
"Selenium","1045","Inorganic Chemicals","0.05","0.05","mg/L","Hair or fingernail loss; numbness in fingers or toes; circulatory problems","Discharge from petroleum refineries; erosion of natural deposits; discharge from mines","None specific"
"Thallium","1085","Inorganic Chemicals","0.0005","0.002","mg/L","Hair loss; changes in blood; kidney, intestine, or liver problems","Leaching from ore-processing sites; discharge from electronics, glass, and drug factories","None specific"
"PFOA","","PFAS","0","0.000004","mg/L","Developmental effects; liver effects; kidney effects; immune effects; thyroid effects; cancer","Industrial discharges; firefighting foam; consumer products","Pregnant women, developing fetuses, infants"
"PFOS","","PFAS","0","0.000004","mg/L","Developmental effects; liver effects; kidney effects; immune effects; thyroid effects; cancer","Industrial discharges; firefighting foam; consumer products","Pregnant women, developing fetuses, infants"
"PFNA","","PFAS","0","0.00001","mg/L","Developmental effects; liver effects; kidney effects; immune effects; thyroid effects","Industrial discharges; consumer products","Pregnant women, developing fetuses, infants"
"PFHxS","","PFAS","0","0.00001","mg/L","Developmental effects; liver effects; kidney effects; immune effects; thyroid effects","Industrial discharges; firefighting foam; consumer products","Pregnant women, developing fetuses, infants"
"HFPO-DA (GenX)","","PFAS","0","0.00001","mg/L","Developmental effects; liver effects; kidney effects; immune effects","Industrial discharges","Pregnant women, developing fetuses, infants"
"PFBS","","PFAS","0","0.0002","mg/L","Thyroid effects; kidney effects; reproductive effects","Industrial discharges; consumer products","Pregnant women, developing fetuses"